    Step   Residual-2-norm     Threshold      Energy
        1     1.16854e+00     1.00000e-07          -5.18927e-02
        2     1.11319e+00     1.00000e-07          -4.61111e-01
        3     6.09643e-01     1.14081e-07          -1.14081e+00
        4     3.71980e-01     1.54723e-07          -1.54723e+00
        5     3.22858e-01     1.74295e-07          -1.74295e+00
        6     1.91346e-01     1.82004e-07          -1.82004e+00
        7     1.91255e-01     1.85363e-07          -1.85363e+00
        8     1.82092e-01     1.89666e-07          -1.89666e+00
        9     1.04330e-01     1.93069e-07          -1.93069e+00
       10     5.94043e-02     1.93984e-07          -1.93984e+00
       11     5.30775e-02     1.94413e-07          -1.94413e+00
       12     2.89788e-02     1.94750e-07          -1.94750e+00
       13     1.71079e-02     1.94860e-07          -1.94860e+00
       14     6.45476e-03     1.94883e-07          -1.94883e+00
       15     3.36287e-03     1.94893e-07          -1.94893e+00
       16     3.45018e-03     1.94895e-07          -1.94895e+00
       17     3.26838e-03     1.94896e-07          -1.94896e+00
       18     6.93107e-04     1.94896e-07          -1.94896e+00
       19     6.11280e-04     1.94897e-07          -1.94897e+00
       20     3.33445e-04     1.94897e-07          -1.94897e+00
       21     2.52252e-04     1.94897e-07          -1.94897e+00
       22     2.45284e-04     1.94897e-07          -1.94897e+00
       23     1.87438e-04     1.94897e-07          -1.94897e+00
       24     5.07730e-05     1.94897e-07          -1.94897e+00
       25     2.96261e-05     1.94897e-07          -1.94897e+00
       26     4.01303e-05     1.94897e-07          -1.94897e+00
       27     1.18762e-05     1.94897e-07          -1.94897e+00
       28     4.73081e-06     1.94897e-07          -1.94897e+00
       29     4.85107e-06     1.94897e-07          -1.94897e+00
       30     3.86599e-06     1.94897e-07          -1.94897e+00
       31     2.73950e-06     1.94897e-07          -1.94897e+00
       32     1.54526e-06     1.94897e-07          -1.94897e+00
       33     9.40554e-07     1.94897e-07          -1.94897e+00
       34     1.72909e-07     1.94897e-07          -1.94897e+00
