    0    0    0    0 0.9737207991 0.0000000000
    0    0    0    1 0.0000000292 0.0000000090
    0    1    0    0 0.0000000292 -0.0000000090
    0    1    0    1 0.0262792009 0.0000000000
    1    0    1    0 0.5000001960 0.0000000000
    1    0    1    1 -0.0000000258 -0.0000004877
    1    1    1    0 -0.0000000258 0.0000004877
    1    1    1    1 0.4999998040 0.0000000000
    2    0    2    0 0.5000002031 0.0000000000
    2    0    2    1 -0.0000000258 0.0000004875
    2    1    2    0 -0.0000000258 -0.0000004875
    2    1    2    1 0.4999997969 0.0000000000
    3    0    3    0 0.0262791862 0.0000000000
    3    0    3    1 0.0000000231 -0.0000000169
    3    1    3    0 0.0000000231 0.0000000169
    3    1    3    1 0.9737208138 0.0000000000
