    Step   Residual-2-norm     Threshold      Energy
        1     1.05314e+00     1.00000e-07           1.22882e-01
        2     1.32114e+00     1.00000e-07          -3.12541e-01
        3     5.34216e-01     1.11999e-07          -1.11999e+00
        4     2.21022e-01     1.54334e-07          -1.54334e+00
        5     1.96854e-01     1.62898e-07          -1.62898e+00
        6     9.31305e-02     1.66916e-07          -1.66916e+00
        7     7.62397e-02     1.67784e-07          -1.67784e+00
        8     2.96248e-01     1.74564e-07          -1.74564e+00
        9     2.19715e-01     1.83169e-07          -1.83169e+00
       10     1.02640e-01     1.86161e-07          -1.86161e+00
       11     2.77137e-02     1.87433e-07          -1.87433e+00
       12     8.74463e-03     1.87839e-07          -1.87839e+00
       13     9.78052e-03     1.87859e-07          -1.87859e+00
       14     5.57477e-03     1.87864e-07          -1.87864e+00
       15     3.86804e-03     1.87868e-07          -1.87868e+00
       16     2.70605e-03     1.87870e-07          -1.87870e+00
       17     1.42764e-03     1.87872e-07          -1.87872e+00
       18     1.10281e-04     1.87872e-07          -1.87872e+00
       19     6.82924e-05     1.87872e-07          -1.87872e+00
       20     7.57425e-05     1.87872e-07          -1.87872e+00
       21     3.34234e-05     1.87872e-07          -1.87872e+00
       22     2.56649e-05     1.87872e-07          -1.87872e+00
       23     7.10477e-06     1.87872e-07          -1.87872e+00
       24     5.37671e-06     1.87872e-07          -1.87872e+00
       25     1.93465e-06     1.87872e-07          -1.87872e+00
       26     3.76671e-07     1.87872e-07          -1.87872e+00
       27     4.31866e-07     1.87872e-07          -1.87872e+00
       28     4.55967e-07     1.87872e-07          -1.87872e+00
       29     7.89673e-08     1.87872e-07          -1.87872e+00
