    Step   Residual-2-norm     Threshold      Energy
        1     9.91277e-01     1.00000e-07           6.19367e-02
        2     1.14349e+00     1.00000e-07          -2.82754e-01
        3     4.71424e-01     1.00000e-07          -9.73072e-01
        4     1.68345e-01     1.36017e-07          -1.36017e+00
        5     2.84486e-01     1.43468e-07          -1.43468e+00
        6     1.49586e-01     1.48224e-07          -1.48224e+00
        7     1.73848e-01     1.50840e-07          -1.50840e+00
        8     2.88698e-01     1.60749e-07          -1.60749e+00
        9     1.36136e-01     1.70598e-07          -1.70598e+00
       10     7.14152e-02     1.72280e-07          -1.72280e+00
       11     2.17891e-02     1.73119e-07          -1.73119e+00
       12     1.69967e-02     1.73390e-07          -1.73390e+00
       13     1.33655e-02     1.73409e-07          -1.73409e+00
       14     5.23058e-03     1.73429e-07          -1.73429e+00
       15     3.61662e-03     1.73442e-07          -1.73442e+00
       16     2.44469e-03     1.73444e-07          -1.73444e+00
       17     4.29346e-04     1.73444e-07          -1.73444e+00
       18     3.13450e-04     1.73444e-07          -1.73444e+00
       19     3.58293e-04     1.73444e-07          -1.73444e+00
       20     1.41131e-04     1.73444e-07          -1.73444e+00
       21     8.89813e-05     1.73444e-07          -1.73444e+00
       22     7.02731e-05     1.73444e-07          -1.73444e+00
       23     2.13616e-05     1.73444e-07          -1.73444e+00
       24     6.02170e-06     1.73444e-07          -1.73444e+00
       25     5.73242e-06     1.73444e-07          -1.73444e+00
       26     3.84495e-06     1.73444e-07          -1.73444e+00
       27     2.30853e-06     1.73444e-07          -1.73444e+00
       28     5.98500e-07     1.73444e-07          -1.73444e+00
       29     3.05496e-07     1.73444e-07          -1.73444e+00
       30     1.62739e-07     1.73444e-07          -1.73444e+00
