    Step   Residual-2-norm     Threshold      Energy
        1     8.89183e-01     1.00000e-07          -9.10598e-02
        2     8.13700e-01     1.00000e-07          -3.05348e-01
        3     3.30409e-01     1.00000e-07          -8.22288e-01
        4     8.59977e-02     1.13491e-07          -1.13491e+00
        5     1.73875e-01     1.16977e-07          -1.16977e+00
        6     6.38990e-02     1.19912e-07          -1.19912e+00
        7     7.14528e-02     1.20665e-07          -1.20665e+00
        8     8.68656e-02     1.24101e-07          -1.24101e+00
        9     4.18977e-02     1.27332e-07          -1.27332e+00
       10     3.08324e-02     1.27538e-07          -1.27538e+00
       11     6.32843e-03     1.27739e-07          -1.27739e+00
       12     4.77500e-03     1.27839e-07          -1.27839e+00
       13     2.94679e-03     1.27840e-07          -1.27840e+00
       14     2.30396e-03     1.27843e-07          -1.27843e+00
       15     1.06212e-03     1.27845e-07          -1.27845e+00
       16     1.35566e-03     1.27846e-07          -1.27846e+00
       17     4.54580e-04     1.27846e-07          -1.27846e+00
       18     5.06730e-05     1.27846e-07          -1.27846e+00
       19     9.01966e-05     1.27846e-07          -1.27846e+00
       20     4.96284e-05     1.27846e-07          -1.27846e+00
       21     2.12039e-05     1.27846e-07          -1.27846e+00
       22     3.25609e-05     1.27846e-07          -1.27846e+00
       23     9.56646e-06     1.27846e-07          -1.27846e+00
       24     1.25666e-06     1.27846e-07          -1.27846e+00
       25     1.58641e-06     1.27846e-07          -1.27846e+00
       26     1.44393e-06     1.27846e-07          -1.27846e+00
       27     3.84343e-07     1.27846e-07          -1.27846e+00
       28     5.79235e-07     1.27846e-07          -1.27846e+00
       29     2.55200e-07     1.27846e-07          -1.27846e+00
       30     3.54233e-08     1.27846e-07          -1.27846e+00
