    0    0    0    0 0.9563859199 0.0000000000
    0    0    0    1 0.0000000351 -0.0000000357
    0    1    0    0 0.0000000351 0.0000000357
    0    1    0    1 0.0436140801 0.0000000000
    1    0    1    0 0.0805056038 0.0000000000
    1    0    1    1 -0.0000000030 0.0000000118
    1    1    1    0 -0.0000000030 -0.0000000118
    1    1    1    1 0.9194943962 0.0000000000
    2    0    2    0 0.0805056078 0.0000000000
    2    0    2    1 0.0000000096 -0.0000000543
    2    1    2    0 0.0000000096 0.0000000543
    2    1    2    1 0.9194943922 0.0000000000
    3    0    3    0 0.0805056115 0.0000000000
    3    0    3    1 0.0000000232 0.0000000446
    3    1    3    0 0.0000000232 -0.0000000446
    3    1    3    1 0.9194943885 0.0000000000
