    Step   Residual-2-norm     Threshold      Energy
        1     3.69935e+00     1.00000e-07           8.39318e-03
        2     3.76898e+00     1.73366e-07          -1.73366e+00
        3     3.14673e+00     4.54767e-07          -4.54767e+00
        4     2.70248e+00     6.34286e-07          -6.34286e+00
        5     2.38251e+00     7.58263e-07          -7.58263e+00
        6     2.14238e+00     8.48749e-07          -8.48749e+00
        7     1.90425e+00     9.17094e-07          -9.17094e+00
        8     1.68671e+00     9.69485e-07          -9.69485e+00
        9     1.52321e+00     1.01102e-06          -1.01102e+01
       10     1.41554e+00     1.04564e-06          -1.04564e+01
       11     1.35380e+00     1.07579e-06          -1.07579e+01
       12     1.28870e+00     1.10269e-06          -1.10269e+01
       13     1.17674e+00     1.12624e-06          -1.12624e+01
       14     1.02881e+00     1.14570e-06          -1.14570e+01
       15     8.69223e-01     1.16088e-06          -1.16088e+01
       16     7.11805e-01     1.17208e-06          -1.17208e+01
       17     5.73402e-01     1.17980e-06          -1.17980e+01
       18     4.59059e-01     1.18481e-06          -1.18481e+01
       19     3.62931e-01     1.18798e-06          -1.18798e+01
       20     2.81971e-01     1.18997e-06          -1.18997e+01
       21     2.13200e-01     1.19120e-06          -1.19120e+01
       22     1.57718e-01     1.19192e-06          -1.19192e+01
       23     1.15897e-01     1.19232e-06          -1.19232e+01
       24     8.50330e-02     1.19253e-06          -1.19253e+01
       25     6.20228e-02     1.19264e-06          -1.19264e+01
       26     4.56153e-02     1.19270e-06          -1.19270e+01
       27     3.44388e-02     1.19274e-06          -1.19274e+01
       28     2.63259e-02     1.19275e-06          -1.19275e+01
       29     1.98176e-02     1.19277e-06          -1.19277e+01
       30     1.48262e-02     1.19277e-06          -1.19277e+01
       31     1.12986e-02     1.19277e-06          -1.19277e+01
       32     8.88002e-03     1.19278e-06          -1.19278e+01
       33     7.07333e-03     1.19278e-06          -1.19278e+01
       34     5.64386e-03     1.19278e-06          -1.19278e+01
       35     4.46990e-03     1.19278e-06          -1.19278e+01
       36     3.42205e-03     1.19278e-06          -1.19278e+01
       37     2.51757e-03     1.19278e-06          -1.19278e+01
       38     1.82795e-03     1.19278e-06          -1.19278e+01
       39     1.30410e-03     1.19278e-06          -1.19278e+01
       40     9.15496e-04     1.19278e-06          -1.19278e+01
       41     6.45908e-04     1.19278e-06          -1.19278e+01
       42     4.67923e-04     1.19278e-06          -1.19278e+01
